k,combo_indices,combo_nos,R2,MAE,RMSE,R2_Change,MAE_Change,RMSE_Change
6,"(37.0, 28.0, 34.0, 25.0, 26.0, 50.0)","[39, 30, 36, 27, 28, 52]",0.7946550978348252,4.980924769684055,6.533895867388931,0.16150046118059125,-2.0807207131637497,-2.199271092357601
4,"(37.0, 28.0, 25.0, 50.0)","[39, 30, 27, 52]",0.7647296641310258,6.208428477198235,6.9938100390106,0.13157502747679184,-0.8532170056495696,-1.7393569207359318
5,"(28.0, 25.0, 26.0, 36.0, 50.0)","[30, 27, 28, 38, 52]",0.7621947398970991,5.319582676571347,7.031386555576729,0.12904010324286508,-1.7420628062764578,-1.7017804041698028
3,"(28.0, 25.0, 26.0)","[30, 27, 28]",0.7474351051221498,5.763084632261641,7.24630715430592,0.11428046846791584,-1.2985608505861634,-1.486859805440612
8,"(37.0, 28.0, 34.0, 25.0, 26.0, 27.0, 36.0, 50.0)","[39, 30, 36, 27, 28, 29, 38, 52]",0.7468829059050706,5.463157190220561,7.254224367807071,0.11372826925083657,-1.598488292627244,-1.478942591939461
7,"(37.0, 28.0, 34.0, 25.0, 41.0, 36.0, 50.0)","[39, 30, 36, 27, 43, 38, 52]",0.7361473642076535,6.332000344596764,7.406464821038915,0.10299272755341948,-0.7296451382510405,-1.326702138707617
2,"(28.0, 50.0)","[30, 52]",0.7135702169448319,6.091959585819019,7.716837106953159,0.08041558029059792,-0.9696858970287856,-1.0163298527933726
1,"(37.0,)",[39],0.6872865205358435,6.625581809307818,8.063127863505377,0.0541318838816095,-0.4360636735399872,-0.6700390962411547
