,R²,R² Std,MAE,MAE Std,RMSE,RMSE Std
Gradient Boosting (Optimized),0.593022681898125,0.20212228732957163,6.862474720241875,2.2632251095408145,10.121537484344257,9.341495593985936
Voting Ensemble,0.5726756011006036,0.19050433627613209,7.440344035803329,2.597585011381507,10.419035579312315,9.18668178175123
Random Forest (Optimized),0.5644735896441565,0.20096489504442763,7.503479901812924,2.795081136991338,10.537960440938495,9.278216583491497
Extra Trees (Optimized),0.3842990984589311,0.19234288796521934,9.56707279032263,2.6322833761358475,12.175603663008678,9.179728501108805
SVR (Optimized),0.16622347939051346,0.17463489696617468,10.298055040324394,2.175790143017549,13.856625929736415,8.2440693100376
KNN (Optimized),0.1316848336000639,0.21220503905516672,11.793747473308068,2.091121816715694,14.229413925631702,9.383405807783362
Stacking Ensemble,-0.01463874914748829,0.11254961983807943,12.619794976805048,1.1080094251739991,15.103774045474433,7.541809585742671
