No,Actual,Predicted,Residual,Abs_Residual
38,11.22,34.08407388777948,-22.864073887779483,22.864073887779483
35,37.1,34.08407388777948,3.0159261122205194,3.0159261122205194
20,38.97,39.1762154979322,-0.20621549793219884,0.20621549793219884
50,52.48,44.29957908091224,8.180420919087759,8.180420919087759
16,13.97,15.632007878359772,-1.6620078783597716,1.6620078783597716
10,11.48,12.902321839420928,-1.4223218394209276,1.4223218394209276
17,43.65,43.90123660479097,-0.251236604790968,0.251236604790968
46,8.13,9.899273061680194,-1.7692730616801935,1.7692730616801935
12,16.89,16.695893869182544,0.1941061308174561,0.1941061308174561
1,3.47,8.958540109296793,-5.4885401092967925,5.4885401092967925
47,16.98,18.070484411890682,-1.0904844118906816,1.0904844118906816
29,19.63,20.82764858793989,-1.1976485879398915,1.1976485879398915
6,27.35,20.679821861267207,6.670178138732794,6.670178138732794
31,32.31,32.09798063993297,0.21201936006703193,0.21201936006703193
2,8.88,8.049481680878518,0.8305183191214827,0.8305183191214827
22,38.84,40.60135087609588,-1.7613508760958752,1.7613508760958752
3,2.87,-0.3197370827583934,3.1897370827583935,3.1897370827583935
41,20.09,20.010707547570735,0.07929245242926442,0.07929245242926442
37,12.05,34.08407388777948,-22.03407388777948,22.03407388777948
24,19.0,26.638772362109137,-7.638772362109137,7.638772362109137
43,18.32,18.742641173940633,-0.42264117394063305,0.42264117394063305
11,5.17,3.6838239309689556,1.4861760690310444,1.4861760690310444
23,51.19,38.22630267231473,12.963697327685267,12.963697327685267
19,63.47,34.08407388777948,29.385926112220517,29.385926112220517
21,14.85,15.321593845307895,-0.47159384530789517,0.47159384530789517
8,13.0,12.123726518576804,0.8762734814231958,0.8762734814231958
44,49.3,48.52551717223414,0.7744828277658584,0.7744828277658584
15,21.9,22.284457770839875,-0.38445777083987664,0.38445777083987664
40,3.65,5.156691814820625,-1.5066918148206248,1.5066918148206248
