,Model,R2,MAE,RMSE,Improvement,Improvement_Percent
Original Model,Gradient Boosting,0.638197092591019,7.149255442232573,9.426180475282242,,
Final Model,Voting Ensemble,0.6128754158592835,7.073897443219847,9.75045989338085,-0.025321676731735465,-3.9676891395621827
